id,region1,title1,lat1,lon1,year,region2,title2,lat2,lon2
193,CH: Graubünden,Lumnezia,46.66292,9.1099,1837,DE: Bayern,Obergünzburg,47.8455,10.4194
198,CH: Graubünden,Lumnezia,46.66292,9.1099,1846,DE: Bayern,Obergünzburg,47.8455,10.4194
213,CH: Graubünden,Lumnezia,46.66292,9.1099,1838,DE: Bayern,Obergünzburg,47.8455,10.4194
192,CH: Graubünden,Lumnezia,46.66292,9.1099,1837,DE: Bayern,Obergünzburg,47.8455,10.4194
197,CH: Graubünden,Lumnezia,46.66292,9.1099,1900,DE: Bayern,Ottobeuren,47.9333,10.3
197,CH: Graubünden,Lumnezia,46.66292,9.1099,1902,DE: Baden-Württemberg,Wangen im Allgäu,47.6939,9.829
200,CH: Graubünden,Lumnezia,46.66292,9.1099,1902,DE: Baden-Württemberg,Wangen im Allgäu,47.6939,9.829
194,CH: Graubünden,Lumnezia,46.66292,9.1099,1898,DE: Bayern,Ottobeuren,47.9333,10.3
203,CH: Graubünden,Domat/Ems,46.81981,9.45455,1899,DE: Baden-Württemberg,Wangen im Allgäu,47.6939,9.829
203,CH: Graubünden,Domat/Ems,46.81981,9.45455,1898,DE: Bayern,Ottobeuren,47.9333,10.3
189,CH: Graubünden,Lumnezia,46.66292,9.1099,1900,DE: Baden-Württemberg,Wangen im Allgäu,47.6939,9.829
175,CH: Graubünden,Lumnezia,46.66292,9.1099,1899,DE: Baden-Württemberg,Wangen im Allgäu,47.6939,9.829
176,CH: Graubünden,Domat/Ems,46.81981,9.45455,1900,DE: Baden-Württemberg,Wangen im Allgäu,47.6939,9.829
162,CH: Graubünden,Domat/Ems,46.81981,9.45455,1898,DE: Baden-Württemberg,Vogt,47.7862,9.7602
165,CH: Graubünden,Lumnezia,46.66292,9.1099,1893,DE: Baden-Württemberg,Vogt,47.7862,9.7602
165,CH: Graubünden,Lumnezia,46.66292,9.1099,1894,DE: Baden-Württemberg,Vogt,47.7862,9.7602
204,CH: Graubünden,Lumnezia,46.66292,9.1099,1895,DE: Baden-Württemberg,Vogt,47.7862,9.7602
107,CH: Graubünden,Lumnezia,46.66292,9.1099,1894,DE: Baden-Württemberg,Vogt,47.7862,9.7602
183,CH: Graubünden,Lumnezia,46.66292,9.1099,1899,DE: Baden-Württemberg,Vogt,47.7862,9.7602
183,CH: Graubünden,Lumnezia,46.66292,9.1099,1900,DE: Baden-Württemberg,Vogt,47.7862,9.7602
170,CH: Graubünden,Lumnezia,46.66292,9.1099,1900,DE: Baden-Württemberg,Vogt,47.7862,9.7602
181,CH: Graubünden,Lumnezia,46.66292,9.1099,1894,DE: Baden-Württemberg,Vogt,47.7862,9.7602
181,CH: Graubünden,Lumnezia,46.66292,9.1099,1895,DE: Baden-Württemberg,Vogt,47.7862,9.7602
181,CH: Graubünden,Lumnezia,46.66292,9.1099,1896,DE: Baden-Württemberg,Vogt,47.7862,9.7602
171,CH: Graubünden,Lumnezia,46.66292,9.1099,1899,DE: Baden-Württemberg,Vogt,47.7862,9.7602
171,CH: Graubünden,Lumnezia,46.66292,9.1099,1900,DE: Baden-Württemberg,Vogt,47.7862,9.7602
184,CH: Graubünden,Lumnezia,46.66292,9.1099,1898,DE: Baden-Württemberg,Vogt,47.7862,9.7602
184,CH: Graubünden,Lumnezia,46.66292,9.1099,1899,DE: Baden-Württemberg,Vogt,47.7862,9.7602
207,CH: Graubünden,Lumnezia,46.66292,9.1099,1895,DE: Baden-Württemberg,Vogt,47.7862,9.7602
1049,CH: Graubünden,Lumnezia,46.66292,9.1099,1893,DE: Baden-Württemberg,Vogt,47.7862,9.7602
202,CH: Graubünden,Lumnezia,46.66292,9.1099,1897,DE: Baden-Württemberg,Vogt,47.7862,9.7602
164,CH: Graubünden,Lumnezia,46.66292,9.1099,1894,DE: Baden-Württemberg,Ravensburg,47.78153,9.61835
201,CH: Graubünden,Lumnezia,46.66292,9.1099,1847,DE: Baden-Württemberg,Wilhelmsdorf,47.8667,9.41667
178,CH: Graubünden,Lumnezia,46.66292,9.1099,1833,DE: Baden-Württemberg,Fronreute,47.86748,9.55798
177,CH: Graubünden,Lumnezia,46.66292,9.1099,1847,DE: Baden-Württemberg,Wilhelmsdorf,47.8667,9.41667
191,CH: Graubünden,Lumnezia,46.66292,9.1099,1872,DE: Baden-Württemberg,Horgenzell,47.8,9.5
212,CH: Graubünden,Lumnezia,46.66292,9.1099,1867,DE: Baden-Württemberg,Horgenzell,47.8,9.5
179,CH: Graubünden,Lumnezia,46.66292,9.1099,1867,DE: Baden-Württemberg,Horgenzell,47.8,9.5
179,CH: Graubünden,Lumnezia,46.66292,9.1099,1868,DE: Baden-Württemberg,Horgenzell,47.8,9.5
190,CH: Graubünden,Lumnezia,46.66292,9.1099,1869,DE: Baden-Württemberg,Horgenzell,47.8,9.5
214,CH: Graubünden,Lumnezia,46.66292,9.1099,1867,DE: Baden-Württemberg,Horgenzell,47.8,9.5
180,CH: Graubünden,Lumnezia,46.66292,9.1099,1865,DE: Baden-Württemberg,Horgenzell,47.8,9.5
206,CH: Graubünden,Lumnezia,46.66292,9.1099,1867,DE: Baden-Württemberg,Horgenzell,47.8,9.5
218,CH: Graubünden,Lumnezia,46.66292,9.1099,1898,DE: Bayern,Ottobeuren,47.9333,10.3
219,CH: Graubünden,Domleschg,46.76908,9.46468,1847,DE: Baden-Württemberg,Wilhelmsdorf,47.8667,9.41667
221,CH: Graubünden,Albula/Alvra,46.68068,9.60604,1841,DE: Baden-Württemberg,Wangen im Allgäu,47.6939,9.829
220,CH: Graubünden,Albula/Alvra,46.68068,9.60604,1841,DE: Baden-Württemberg,Wangen im Allgäu,47.6939,9.829
11,CH: Appenzell-Innerrhoden,Oberegg,47.41694,9.55753,1866,DE: Baden-Württemberg,Wangen im Allgäu,47.6939,9.829
222,CH: Graubünden,Thusis,46.68854,9.43282,1896,DE: Baden-Württemberg,Kißlegg,47.78893,9.88023
12,CH: Appenzell-Innerrhoden,Appenzell,47.33663,9.41263,1905,DE: Baden-Württemberg,Langenargen,47.59692,9.53968
224,CH: Graubünden,Domat/Ems,46.81981,9.45455,1902,DE: Baden-Württemberg,Leutkirch im Allgäu,47.8184,9.9931
225,CH: Graubünden,Domat/Ems,46.81981,9.45455,1890,DE: Baden-Württemberg,Leutkirch im Allgäu,47.8184,9.9931
226,CH: Graubünden,Sumvitg,46.70978,8.94418,1833,DE: Baden-Württemberg,Wangen im Allgäu,47.6939,9.829
228,CH: Graubünden,Surses,46.53576,9.61569,1846,DE: Baden-Württemberg,Wangen im Allgäu,47.6939,9.829
228,CH: Graubünden,Surses,46.53576,9.61569,1845,DE: Baden-Württemberg,Wangen im Allgäu,47.6939,9.829
227,CH: Graubünden,Surses,46.53576,9.61569,1846,DE: Baden-Württemberg,Wangen im Allgäu,47.6939,9.829
227,CH: Graubünden,Surses,46.53576,9.61569,1843,DE: Baden-Württemberg,Wangen im Allgäu,47.6939,9.829
231,CH: Graubünden,Surses,46.53576,9.61569,1846,DE: Baden-Württemberg,Wangen im Allgäu,47.6939,9.829
231,CH: Graubünden,Surses,46.53576,9.61569,1845,DE: Baden-Württemberg,Wangen im Allgäu,47.6939,9.829
231,CH: Graubünden,Surses,46.53576,9.61569,1848,DE: Baden-Württemberg,Wangen im Allgäu,47.6939,9.829
232,CH: Graubünden,Surses,46.53576,9.61569,1852,DE: Baden-Württemberg,Wangen im Allgäu,47.6939,9.829
1058,CH: St. Gallen,,,,1895,DE: Baden-Württemberg,Horgenzell,47.8,9.5
235,CH: Graubünden,Sumvitg,46.70978,8.94418,1871,DE: Baden-Württemberg,Aichstetten,47.8973,10.0565
237,CH: Graubünden,Rheinwald,46.54465,9.24054,1866,DE: Baden-Württemberg,Leutkirch im Allgäu,47.8184,9.9931
238,CH: Graubünden,Rheinwald,46.54465,9.24054,1867,DE: Baden-Württemberg,Leutkirch im Allgäu,47.8184,9.9931
239,CH: Graubünden,Sils im Domleschg,46.69077,9.46489,1898,DE: Baden-Württemberg,Kißlegg,47.78893,9.88023
239,CH: Graubünden,Sils im Domleschg,46.69077,9.46489,1900,DE: Baden-Württemberg,Kißlegg,47.78893,9.88023
239,CH: Graubünden,Sils im Domleschg,46.69077,9.46489,1901,DE: Baden-Württemberg,Kißlegg,47.78893,9.88023
242,CH: Graubünden,Sils im Domleschg,46.69077,9.46489,1901,DE: Baden-Württemberg,Kißlegg,47.78893,9.88023
242,CH: Graubünden,Sils im Domleschg,46.69077,9.46489,1902,DE: Baden-Württemberg,Kißlegg,47.78893,9.88023
244,CH: Graubünden,Sils im Domleschg,46.69077,9.46489,1901,DE: Baden-Württemberg,Kißlegg,47.78893,9.88023
236,CH: Graubünden,Rheinwald,46.54465,9.24054,1878,DE: Baden-Württemberg,Tettnang,47.6689,9.5909
245,CH: Graubünden,Disentis/Mustér,46.73425,8.84761,1853,DE: Baden-Württemberg,Leutkirch im Allgäu,47.8184,9.9931
247,CH: Graubünden,Breil/Brigels,46.78515,9.03336,1845,DE: Baden-Württemberg,Fronreute,47.86748,9.55798
246,CH: Graubünden,Breil/Brigels,46.78515,9.03336,1880,DE: Baden-Württemberg,Markdorf,47.7194,9.3952
255,CH: Graubünden,Lumnezia,46.66292,9.1099,1891,DE: Baden-Württemberg,Wolfegg,47.8167,9.8
257,CH: Graubünden,Lumnezia,46.66292,9.1099,1894,DE: Baden-Württemberg,Vogt,47.7862,9.7602
257,CH: Graubünden,Lumnezia,46.66292,9.1099,1894,DE: Baden-Württemberg,Vogt,47.7862,9.7602
257,CH: Graubünden,Lumnezia,46.66292,9.1099,1896,DE: Baden-Württemberg,Vogt,47.7862,9.7602
