titel,lat,lon,num
San Leonardo in Passiria/St. Leonhard in Passeier,46.81282,11.24577,1
San Lorenzo di Sebato/St. Lorenzen,46.78593,11.90938,6
San Martino in Passiria/St. Martin in Passeier,46.78392,11.22727,4
Sankt Anton im Montafon,47.11803,9.87375,1
Sankt Gallenkirch,46.98738,9.95511,87
Sankt Gerold,47.23883,9.8098,1
Sargans,47.04896,9.44103,2
Satteins,47.21667,9.66667,5
Sautens,47.20775,10.86452,6
Schaan,47.16498,9.50867,3
Schiers,46.96973,9.6872,2
Schlins,47.2,9.7,4
Schluderns,46.66524,10.58345,33
Schluein,46.78819,9.22603,9
Schmitten (GR),46.70416,9.67775,5
Schnepfau,47.35206,9.9452,61
Schnifis,47.21667,9.73306,37
Schönwies,47.19665,10.65742,30
Schoppernau,47.31205,10.01646,113
Schröcken,47.25755,10.09197,13
Schruns,47.08028,9.91917,14
Schwarzach,47.44904,9.76213,4
Schwarzenberg,47.41415,9.85154,311
Schwende-Rüte,47.31607,9.42309,3
Scuol,46.73463,10.32633,1
See,47.08333,10.46667,11
Seewis im Prättigau,47.02225,9.65988,3
Serfaus,47.04018,10.60339,42
Sibratsgfäll,47.42667,10.03806,23
Silandro/Schlanders,46.62841,10.77116,3
Silbertal,47.09368,9.98314,23
Sils im Domleschg,46.70041,9.45404,18
Silz,47.26667,10.93333,3
Spiss,46.98222,10.44016,36
St. Anton am Arlberg,47.08257,10.22347,59
St. Gallen,47.42391,9.37477,15
St. Jakob in Haus,47.49966,12.55576,2
St. Johann im Walde,46.91048,12.62354,3
St. Leonhard im Pitztal,47.06667,10.85,7
St. Margrethen,47.4533,9.62598,1
Stallehr,47.13306,9.85,4
Stanz bei Landeck,47.15813,10.55278,13
Steinach,47.50178,9.43846,1
Stelvio,46.59801,10.54526,33
Strengen,47.12589,10.46199,17
Sufers,46.57032,9.36586,2
Sulz,47.28721,9.65183,20
Sulzberg,47.52178,9.91353,50
Sumvitg,46.73432,8.95879,26
Surses,46.53576,9.61569,29
Tamins,46.82964,9.40648,5
Tarrenz,47.26667,10.76667,27
Telve,46.07011,11.48022,1
Terlano/Terlan,46.53242,11.24537,2
Thal,47.46677,9.56643,1
Thüringen,47.2,9.76667,17
Thüringerberg,47.21437,9.78499,8
Thusis,46.69724,9.43938,7
Tirol,46.69102,11.15427,27
Tobadill,47.11667,10.5,6
Tösens,47.0181,10.60678,29
Trento,46.07043,11.12074,2
Triesen,47.10752,9.52815,1
Trimmis,46.90075,9.5612,1
Trin,46.82834,9.36164,3
Trodena nel parco naturale/Truden im Naturpark,46.32231,11.35088,1
Trogen,47.40782,9.46498,1
Trun,46.74292,8.98716,20
Tschagguns,47.07391,9.90267,12
Tschiertschen-Praden,46.79943,9.60105,3
Tubre/Taufers im Münstertal,46.64561,10.46415,24
Tujetsch,46.67934,8.77305,7
Übersaxen,47.25284,9.6708,3
Untervaz,46.9275,9.53422,15
Urnäsch,47.31669,9.2795,1
Uster,47.35316,8.72156,1
Uznach,47.22421,8.98263,1
Vaduz,47.14151,9.52154,1
Valle di Casies/Gsies,46.76833,12.17939,1
Vals,46.61647,9.18025,134
Vandans,47.09569,9.86525,21
Vaz/Obervaz,46.71703,9.54133,28
Villandro/Villanders,46.63082,11.53708,1
Vipiteno/Sterzing,46.89253,11.43007,2
Walchsee,47.63702,12.30986,5
Walzenhausen,47.44867,9.60495,3
Wartau,47.08333,9.48333,1
Wenns,47.16667,10.73333,29
Wil (SG),47.47571,9.05176,1
Wolfhalden,47.4527,9.54815,3
Wolfurt,47.46667,9.75,10
Zams,47.15844,10.5897,14
Zizers,46.93575,9.56491,2
Zurich,47.38283,8.53071,1
Zwischenwasser,47.28296,9.65939,25
