Herkunft: Gem. heute,Anzahl Gem.: Kinder,Anzahl Gem.: Wanderungen,Herkunft: Gem. heute (Lat.),Herkunft: Gem. heute (Lon.)
Reute (AR),1,1,47.41396,9.57952
Reuthe,26,29,47.36667,9.88333
Rhäzüns,12,14,46.78618,9.39221
Rheineck,4,4,47.47005,9.5834
Rheinwald,11,11,46.54465,9.24054
Riefensberg,63,118,47.5,9.96435
Rietz,2,3,47.27225,11.0447
Röns,3,3,47.21797,9.69794
Roppen,7,8,47.19187,10.82041
Rorschach,11,12,47.47565,9.49489
Rossa,1,1,46.3881,9.12668
Röthis,7,9,47.29215,9.65501
Rüthi (SG),4,4,47.29497,9.53365
Safiental,2,2,46.69624,9.30396
Sagogn,6,8,46.79827,9.27552
Salzburg,1,1,47.7972,13.04768
Samnaun,13,15,46.95222,10.36647
Sankt Anton im Montafon,1,1,47.11803,9.87375
Sankt Gallenkirch,75,87,46.98738,9.95511
Sankt Gerold,1,1,47.23883,9.8098
Sargans,2,2,47.05562,9.44881
Satteins,5,5,47.23015,9.67541
Sautens,3,6,47.20188,10.85456
Schaan,3,3,47.17433,9.52401
Schiers,2,2,46.99233,9.74605
Schlanders (Silandro),3,3,46.62841,10.77116
Schlins,4,4,47.20591,9.69786
Schluderns (Sluderno),33,33,46.66451,10.58496
Schluein,6,9,46.78885,9.2224
Schmitten (GR),5,5,46.70416,9.67775
Schnepfau,47,61,47.34738,9.95152
Schnifis,25,37,47.21746,9.73787
Schönwies,22,30,47.20835,10.64228
Schoppernau,89,113,47.29929,10.04263
Schröcken,13,13,47.25,10.08333
Schruns,14,14,47.07092,9.94746
Schwarzach,3,4,47.44737,9.76371
Schwarzenberg,175,311,47.41667,9.85
Schwende-Rüte,2,3,47.31607,9.42309
Scuol,1,1,46.73463,10.32633
See,8,11,47.04483,10.44739
Seewis im Prättigau,2,3,47.02225,9.65988
Serfaus,29,42,47.02675,10.55224
Sibratsgfäll,19,23,47.41527,10.05992
Silbertal,23,23,47.06947,10.05408
Sils im Domleschg,13,18,46.69077,9.46489
Silz,3,3,47.22304,10.97899
Spiss,25,36,46.98222,10.44016
St. Anton am Arlberg,22,35,47.08257,10.22347
St. Gallen,15,15,47.42214,9.37554
St. Johann in Tirol,1,3,47.52332,12.42326
St. Leonhard im Pitztal,3,7,46.99704,10.84507
St. Leonhard in Passeier (San Leonardo in Passiria),1,1,46.81282,11.24577
St. Lorenzen (San Lorenzo di Sebato),5,6,46.78593,11.90938
St. Margrethen,1,1,47.4533,9.62598
St. Martin in Passeier (San Martino in Passiria),4,4,46.78392,11.22727
St. Ulrich in Gröden (Ortisei),1,1,46.57432,11.66748
Stallehr,4,4,47.13733,9.85982
Stanz bei Landeck,10,13,47.15813,10.55278
Steinach,1,1,47.49431,9.4352
Sterzing (Vipiteno),2,2,46.89253,11.43007
Stilfs (Stelvio),33,33,46.59801,10.54526
Strengen,16,17,47.12887,10.45686
Sufers,2,2,46.55733,9.37034
Sulz,17,20,47.28872,9.64994
Sulzberg,44,50,47.52405,9.91429
Sumvitg,23,26,46.70978,8.94418
Surses,16,29,46.53576,9.61569
Tamins,3,5,46.86442,9.3995
Tarrenz,21,27,47.2988,10.76418
Taufers im Münstertal (Tubre),24,24,46.64561,10.46415
Telve,1,1,46.07131,11.47959
Terlan (Terlano),2,2,46.53242,11.24537
Thal,1,1,47.47835,9.55678
Thüringen,17,17,47.19931,9.76248
Thüringerberg,8,8,47.21667,9.78306
Thusis,7,7,46.68854,9.43282
Tirol (Tirolo),27,27,46.69102,11.15427
Tobadill,6,6,47.10793,10.52072
Tösens,22,29,46.99308,10.64198
Trient (Trento),2,2,46.07043,11.12074
Triesen,1,1,47.08381,9.55517
Trimmis,1,1,46.89526,9.59757
Trin,3,3,46.86243,9.32992
Trogen,1,1,47.4006,9.47714
Truden im Naturpark (Trodena nel parco naturale),1,1,46.32231,11.35088
Trun,19,20,46.74332,8.9831
Tschagguns,12,12,47.04565,9.87329
Tscherms (Cermes),1,1,46.63462,11.14657
Tschiertschen-Praden,3,3,46.79943,9.60105
Tujetsch,7,7,46.65046,8.7323
Übersaxen,2,3,47.25175,9.69016
Untervaz,6,15,46.92058,9.51584
Urnäsch,1,1,47.29655,9.26745
Uster,1,1,47.35316,8.72156
Uznach,1,1,47.22655,8.98131
Vaduz,1,1,47.14539,9.52655
Vals,105,134,46.61566,9.18032
Vandans,19,21,47.08333,9.86667
Vaz/Obervaz,22,28,46.71703,9.54133
Villanders (Villandro),1,1,46.63082,11.53708
Walzenhausen,3,3,47.44353,9.59743
Wartau,1,1,47.08333,9.48333
Wenns,22,29,47.15203,10.71902
Wil (SG),1,1,47.47571,9.05176
Wolfhalden,2,3,47.44969,9.5606
Wolfurt,6,10,47.46473,9.75131
Zams,9,14,47.1955,10.54578
Zizers,1,2,46.93635,9.57078
Zurich,1,1,47.38283,8.53071
Zwischenwasser,16,25,47.28404,9.68986
